Operation,Address,Data
W,0x00000618,0x88888888
W,0x00000413,0x15946378
W,0x00000284,0x55555555
W,0x00000BA8,0x66666666
W,0x00000CFA,0x687b890a
W,0x000006A8,0x33333333
W,0x00000D2F,0x99999999
W,0x00000EFB,0x66666666
W,0x0000003C,0x77777777
W,0x00000293,0x22222222
R,0x00000D86,
W,0x000005AE,0x88888888
W,0x000009BE,0x15946378
R,0x000007DF,
R,0x00000745,
W,0x00000D01,0x88888888
W,0x000002FA,0xf809b234
W,0x00000DF0,0x77777777
W,0x000002EA,0x15946378
R,0x000005DE,
R,0x000009BF,
W,0x000007A8,0x79824691
W,0x00000F0A,0x99999999
R,0x00000195,
R,0x0000022E,
W,0x000004E6,0x88888888
W,0x00000B2A,0x15946378
W,0x000002E0,0x33333333
R,0x000009E1,
W,0x00000A1E,0x99999999
W,0x000007CB,0x55555555
W,0x000001E2,0x11111111
W,0x000008FC,0x687b890a
W,0x00000EC2,0x99999999
R,0x00000608,
R,0x00000078,
R,0x00000BE3,
W,0x00000685,0x16420982
R,0x00000982,
W,0x00000173,0x55555555
W,0x00000C89,0xf809b234
R,0x0000054E,
W,0x00000F4D,0x11111111
R,0x00000590,
R,0x00000F83,
W,0x00000B5C,0x12345678
W,0x00000A76,0x88888888
W,0x00000A95,0x99999999
R,0x000009D6,
R,0x00000220,
W,0x00000DF8,0x55555555
W,0x000007F7,0x687b890a
R,0x000007FB,
W,0x00000B6E,0xf809b234
W,0x00000F7A,0x22222222
W,0x00000681,0x66666666
W,0x00000879,0x44444444
R,0x00000CE5,
W,0x00000D08,0x88888888
W,0x00000F59,0x99999999
W,0x00000EC6,0x15946378
W,0x000007AA,0x77777777
R,0x000009B7,
W,0x00000B2F,0x99999999
W,0x000001A9,0x11111111
W,0x00000DD1,0x687b890a
R,0x000003B3,
R,0x00000C2E,
R,0x00000ED3,
W,0x00000A3C,0x687b890a
R,0x00000FAD,
R,0x00000CD6,
W,0x00000D26,0x77777777
R,0x00000133,
R,0x00000524,
W,0x00000428,0x16420982
R,0x00000620,
R,0x000005C8,
W,0x00000206,0x16420982
W,0x00000D00,0x22222222
W,0x000007FA,0x66666666
R,0x00000B2A,
R,0x000009E0,
