Operation,Address,Data
W,0x000018C7,0x33333333
R,0x00001132,
W,0x00000824,0x11111111
R,0x000010F4,
R,0x000008A3,
W,0x0000022F,0x66666666
W,0x00000CFB,0x44444444
W,0x00001CAD,0x11111111
R,0x00001F60,
R,0x0000197F,
W,0x000013B1,0x88888888
W,0x0000171A,0x687b890a
W,0x0000004C,0x12345678
W,0x00000B6C,0x11111111
W,0x00001F40,0x22222222
W,0x000005C6,0x79824691
R,0x00000871,
W,0x00001975,0x77777777
R,0x000008BD,
W,0x000001CE,0x66666666
W,0x00001837,0x66666666
W,0x00000044,0x11111111
R,0x00000B26,
W,0x000013B1,0x12345678
W,0x00000347,0x687b890a
W,0x00001AEC,0x16420982
R,0x000012D5,
R,0x000009B4,
W,0x00000826,0xf809b234
W,0x000018A3,0x687b890a
W,0x00000C1A,0x44444444
W,0x000017B4,0x22222222
R,0x00000468,
W,0x00001345,0x22222222
W,0x00000DC2,0x22222222
W,0x000015D6,0x99999999
W,0x0000133B,0x77777777
R,0x00000160,
W,0x00001A69,0x99999999
W,0x00001A21,0x687b890a
W,0x00000EFA,0x55555555
W,0x00001D91,0x33333333
W,0x000010F7,0x79824691
R,0x00000AEE,
W,0x00000B44,0x687b890a
W,0x00000CBD,0xf809b234
R,0x000005E7,
R,0x00001DFC,
W,0x0000040E,0x687b890a
W,0x000013E7,0x15946378
W,0x00000C96,0x99999999
W,0x00000F07,0x99999999
R,0x00000F56,
W,0x0000035D,0x66666666
R,0x000008A3,
W,0x000006AE,0x12345678
R,0x00000130,
W,0x00001670,0x12345678
R,0x000005FC,
R,0x00001FB7,
W,0x00001C6A,0x77777777
R,0x00000CCA,
R,0x00001503,
R,0x00000AB9,
W,0x0000129F,0x66666666
R,0x00001DBD,
R,0x00000469,
R,0x0000043E,
R,0x00000630,
W,0x00000521,0x16420982
R,0x00001F1B,
R,0x000007AC,
W,0x000001E7,0x15946378
W,0x0000003A,0x687b890a
R,0x00001725,
R,0x000007C9,
W,0x0000147F,0x33333333
W,0x000000ED,0x88888888
W,0x00000D6B,0x79824691
R,0x000017F6,
R,0x0000160D,
R,0x00000AF5,
R,0x00000AF0,
W,0x000011C0,0x12345678
W,0x00001966,0x79824691
W,0x00001A68,0x16420982
W,0x00001C70,0x11111111
R,0x0000113C,
R,0x00001D4E,
W,0x00001DFB,0x22222222
R,0x000016B9,
R,0x00000FD5,
W,0x00001392,0x79824691
R,0x0000085F,
R,0x00001940,
R,0x0000139E,
W,0x00001127,0x44444444
R,0x000005AA,
R,0x0000166F,
W,0x000012F9,0x33333333
R,0x00000BC9,
R,0x00000C4B,
W,0x000019D4,0x55555555
R,0x000014BC,
W,0x00000F4C,0x44444444
R,0x000003A4,
W,0x00001146,0x66666666
R,0x000009C9,
W,0x00001EC3,0x66666666
R,0x00001825,
W,0x0000094F,0x55555555
W,0x000019AE,0x16420982
R,0x00000EE3,
R,0x000003BF,
W,0x000012CE,0xf809b234
W,0x000010D8,0x79824691
R,0x00000BFE,
R,0x00000B6D,
R,0x00001545,
W,0x00001F09,0x687b890a
W,0x00000D28,0x79824691
R,0x000016CC,
W,0x000007D6,0x66666666
W,0x00000D15,0x99999999
W,0x00000E46,0x66666666
R,0x000008A5,
R,0x000010D7,
W,0x0000170F,0x79824691
W,0x00001679,0x79824691
R,0x00001147,
R,0x000006C7,
W,0x0000179F,0x55555555
W,0x00001D19,0x687b890a
W,0x000011FA,0x99999999
W,0x000017C3,0x55555555
R,0x00001256,
W,0x00001BFA,0x55555555
R,0x00000ADB,
W,0x00000FC2,0x12345678
W,0x000001D1,0x88888888
R,0x00001CFA,
W,0x00001BF3,0x16420982
R,0x00001C4B,
R,0x00001D8F,
R,0x00000355,
R,0x00001982,
R,0x00000075,
W,0x000012A9,0x33333333
W,0x00000267,0x44444444
R,0x00001022,
W,0x000004C6,0x12345678
W,0x00000C53,0x44444444
W,0x00000580,0x99999999
W,0x00001D2D,0x44444444
R,0x0000172D,
R,0x00000C0C,
W,0x00000F4C,0x687b890a
W,0x000014ED,0x44444444
W,0x0000008D,0x99999999
W,0x00000388,0x55555555
R,0x00001694,
W,0x0000146E,0x99999999
R,0x00001A99,
R,0x00001041,
R,0x00000791,
R,0x000015EA,
W,0x00000774,0x15946378
R,0x00000E04,
R,0x00001B95,
R,0x00001551,
R,0x0000070B,
W,0x000008A0,0x22222222
R,0x000005AD,
R,0x000008CA,
W,0x000019DB,0x22222222
W,0x00001151,0x22222222
W,0x000018D4,0x44444444
R,0x00000BD4,
R,0x00001FED,
W,0x000010BC,0x16420982
R,0x00001AFD,
R,0x00000FEF,
W,0x00000798,0x88888888
W,0x00000E47,0x11111111
W,0x000011EC,0x11111111
W,0x00000149,0x77777777
R,0x00000127,
R,0x000016AE,
R,0x00001731,
R,0x000018EE,
R,0x00000D4C,
R,0x00001C93,
R,0x0000199A,
R,0x000017DA,
W,0x00000FCA,0x79824691
R,0x00001C9B,
W,0x000009A2,0x55555555
R,0x00001BEC,
W,0x00000B96,0x33333333
R,0x00001BC5,
W,0x00000111,0x79824691
R,0x000012CF,
W,0x00000901,0x77777777
W,0x00001737,0x16420982
W,0x00001055,0x33333333
R,0x00000142,
R,0x000019C3,
R,0x000005BF,
R,0x00001DEE,
R,0x00001C0F,
W,0x00000F7E,0x11111111
R,0x00001013,
R,0x00001301,
W,0x0000016A,0x99999999
R,0x00001327,
R,0x0000085D,
R,0x00000AF0,
R,0x000018BB,
R,0x00001235,
R,0x0000100D,
R,0x00000945,
R,0x00000CFF,
R,0x000018E2,
W,0x00000289,0x99999999
R,0x00001193,
W,0x00001E22,0x79824691
R,0x00000974,
R,0x0000117C,
R,0x00000803,
R,0x00000B04,
R,0x0000177C,
W,0x0000127B,0xf809b234
W,0x0000018D,0x88888888
R,0x00001232,
W,0x00000796,0x15946378
W,0x00000AF0,0x77777777
R,0x00000D4D,
R,0x000013FF,
R,0x00000A6D,
W,0x00000E86,0x15946378
R,0x00000707,
W,0x00000160,0x77777777
W,0x000013A6,0x99999999
W,0x00000376,0x687b890a
W,0x00001E81,0x88888888
W,0x00001D6C,0x687b890a
R,0x00001BAB,
W,0x0000036B,0x77777777
R,0x000004F1,
W,0x000017EF,0x99999999
R,0x00001179,
R,0x00000F3D,
R,0x000016F9,
R,0x000018F3,
R,0x000009C8,
W,0x00001213,0x44444444
R,0x000002EF,
W,0x00000157,0x77777777
R,0x000001AB,
W,0x00000140,0x66666666
W,0x000018DA,0x99999999
R,0x0000136A,
W,0x000004A2,0x22222222
W,0x0000075B,0x22222222
W,0x00001750,0x77777777
W,0x00001466,0x22222222
W,0x00000F2F,0x11111111
W,0x00000FE6,0x15946378
R,0x00000B4B,
R,0x000009DD,
R,0x000016CE,
W,0x00001CF9,0x12345678
W,0x0000061F,0x15946378
W,0x000005EA,0x79824691
R,0x00001B0E,
R,0x0000112F,
W,0x00000771,0x12345678
W,0x0000122B,0x77777777
W,0x0000034C,0x99999999
W,0x00001447,0x22222222
R,0x00000860,
W,0x00001385,0x79824691
W,0x00001E89,0x66666666
R,0x000001CF,
W,0x00000C62,0x88888888
R,0x00000B58,
W,0x00001DAE,0x22222222
W,0x00001315,0x88888888
W,0x00001702,0xf809b234
R,0x00001064,
R,0x00001798,
W,0x000013FE,0x44444444
W,0x00001969,0x22222222
W,0x0000191B,0x88888888
W,0x00000996,0x88888888
R,0x000010E7,
R,0x000015B5,
W,0x00000528,0x99999999
R,0x00001CEF,
R,0x00000ED8,
W,0x000013F9,0x79824691
W,0x000002FA,0x55555555
W,0x00000847,0x687b890a
W,0x00001FDD,0x55555555
W,0x00001EDA,0x22222222
W,0x00001D05,0x687b890a
R,0x000016F8,
W,0x00001BB9,0x66666666
W,0x00000008,0x88888888
R,0x00001EDA,
R,0x00000B67,
R,0x0000154E,
W,0x00001956,0x16420982
W,0x00000452,0xf809b234
W,0x00001E1B,0x88888888
R,0x00000630,
W,0x00001491,0x15946378
R,0x000016FE,
R,0x000006EC,
R,0x000017FC,
W,0x00000F40,0x66666666
R,0x00001144,
R,0x00001AB5,
R,0x0000111E,
W,0x00001280,0x66666666
W,0x00000353,0x55555555
R,0x00000675,
R,0x000001C1,
W,0x000007E9,0x77777777
W,0x00000020,0xf809b234
R,0x00000953,
W,0x00000761,0x33333333
W,0x00001FD7,0x66666666
R,0x000002B9,
R,0x00001EF2,
R,0x0000084F,
R,0x00000AD4,
R,0x00001ACB,
W,0x00001C68,0x77777777
W,0x0000188B,0x15946378
R,0x00001440,
W,0x000005E7,0x15946378
R,0x000012D1,
R,0x0000015D,
R,0x00000CD1,
W,0x00000A79,0x16420982
