Operation,Address,Data
W,0x0000FBB0,0x33333333
R,0x00003FE5,
R,0x0000ADC8,
W,0x00009EB1,0x99999999
R,0x0000704C,
W,0x000075FF,0x44444444
W,0x00007D30,0x77777777
R,0x00007543,
W,0x0000D79B,0x12345678
R,0x00001348,
W,0x00000D93,0x33333333
R,0x000019B5,
W,0x0000A5D4,0x12345678
W,0x00003900,0x16420982
R,0x00007757,
R,0x0000AADA,
R,0x00009792,
R,0x0000BE65,
R,0x00009675,
W,0x00000F9F,0x22222222
W,0x0000C0A3,0x55555555
W,0x00006B21,0x12345678
W,0x0000E283,0x16420982
W,0x000061DC,0x12345678
W,0x0000B662,0x15946378
R,0x00008BF2,
R,0x00005FD7,
R,0x00002840,
W,0x0000FDB0,0xf809b234
W,0x0000038D,0x88888888
R,0x00009FBA,
R,0x00009232,
R,0x00000580,
W,0x0000632E,0x77777777
R,0x000038D0,
W,0x00007B91,0x33333333
W,0x000068B1,0x33333333
W,0x0000F246,0x44444444
R,0x0000F18B,
W,0x0000A2E0,0x11111111
R,0x0000E350,
W,0x000078D6,0x12345678
W,0x0000F491,0x99999999
W,0x000026DE,0x88888888
R,0x00004BA3,
W,0x00000911,0x99999999
R,0x00005C56,
W,0x00006F90,0x11111111
R,0x00004DFF,
R,0x0000DC27,
W,0x00003B73,0x88888888
W,0x00004319,0x66666666
W,0x0000D30B,0x33333333
R,0x00008427,
R,0x00003958,
W,0x00008E11,0x11111111
W,0x00005E61,0x44444444
R,0x000085CC,
R,0x00006D38,
W,0x0000D498,0x66666666
R,0x000040FB,
R,0x0000A505,
R,0x00007220,
W,0x000066D8,0x44444444
R,0x00009C21,
R,0x0000AAE3,
W,0x000021BB,0x55555555
R,0x000097CA,
W,0x00006920,0x88888888
W,0x0000AD65,0x16420982
R,0x000093AC,
W,0x0000C7C9,0x44444444
W,0x0000C3A0,0x99999999
W,0x00001106,0x33333333
R,0x000074D7,
W,0x0000FDFB,0xf809b234
W,0x00005BA8,0x55555555
W,0x00004F39,0x15946378
W,0x000024B9,0x15946378
W,0x00003DBC,0x22222222
R,0x0000D963,
R,0x00001F8E,
R,0x00001BFC,
R,0x000054B7,
W,0x00009F21,0x16420982
W,0x00006146,0x33333333
R,0x0000891A,
W,0x0000E8EC,0x12345678
R,0x0000930E,
W,0x00009437,0x88888888
R,0x0000FB17,
R,0x00002435,
R,0x0000317C,
R,0x000054A4,
W,0x0000D7E0,0x88888888
W,0x0000957F,0x12345678
W,0x000003BD,0x66666666
W,0x0000A7A4,0x77777777
R,0x00001335,
W,0x00008F88,0x12345678
